prefecture_code,prefecture_name,city_code,city_name,city_type,city_name_level,city_name_with_space,city_name_kana,city_name_kana_large,city_name_roman
20,長野県,20563,下高井郡野沢温泉村,村,2,下高井郡 野沢温泉村,シモタカイグンノザワオンセンムラ,シモタカイグンノザワオンセンムラ,Shimotakai Gun Nozawaonsen Mura
20,長野県,20583,上水内郡信濃町,町,2,上水内郡 信濃町,カミミノチグンシナノマチ,カミミノチグンシナノマチ,Kamiminochi Gun Shinano Machi
20,長野県,20588,上水内郡小川村,村,2,上水内郡 小川村,カミミノチグンオガワムラ,カミミノチグンオガワムラ,Kamiminochi Gun Ogawa Mura
20,長野県,20590,上水内郡飯綱町,町,2,上水内郡 飯綱町,カミミノチグンイイヅナマチ,カミミノチグンイイヅナマチ,Kamiminochi Gun Iizuna Machi
20,長野県,20602,下水内郡栄村,村,2,下水内郡 栄村,シモミノチグンサカエムラ,シモミノチグンサカエムラ,Shimominochi Gun Sakae Mura
21,岐阜県,21201,岐阜市,市,1,岐阜市,ギフシ,ギフシ,Gifu Shi
21,岐阜県,21202,大垣市,市,1,大垣市,オオガキシ,オオガキシ,Ogaki Shi
21,岐阜県,21203,高山市,市,1,高山市,タカヤマシ,タカヤマシ,Takayama Shi
21,岐阜県,21204,多治見市,市,1,多治見市,タジミシ,タジミシ,Tajimi Shi
21,岐阜県,21205,関市,市,1,関市,セキシ,セキシ,Seki Shi
21,岐阜県,21206,中津川市,市,1,中津川市,ナカツガワシ,ナカツガワシ,Nakatsugawa Shi
21,岐阜県,21207,美濃市,市,1,美濃市,ミノシ,ミノシ,Mino Shi
21,岐阜県,21208,瑞浪市,市,1,瑞浪市,ミズナミシ,ミズナミシ,Mizunami Shi
21,岐阜県,21209,羽島市,市,1,羽島市,ハシマシ,ハシマシ,Hashima Shi
21,岐阜県,21210,恵那市,市,1,恵那市,エナシ,エナシ,Ena Shi
21,岐阜県,21211,美濃加茂市,市,1,美濃加茂市,ミノカモシ,ミノカモシ,Minokamo Shi
21,岐阜県,21212,土岐市,市,1,土岐市,トキシ,トキシ,Toki Shi
21,岐阜県,21213,各務原市,市,1,各務原市,カカミガハラシ,カカミガハラシ,Kakamigahara Shi
21,岐阜県,21214,可児市,市,1,可児市,カニシ,カニシ,Kani Shi
21,岐阜県,21215,山県市,市,1,山県市,ヤマガタシ,ヤマガタシ,Yamagata Shi
21,岐阜県,21216,瑞穂市,市,1,瑞穂市,ミズホシ,ミズホシ,Mizuho Shi
21,岐阜県,21217,飛騨市,市,1,飛騨市,ヒダシ,ヒダシ,Hida Shi
21,岐阜県,21218,本巣市,市,1,本巣市,モトスシ,モトスシ,Motosu Shi
21,岐阜県,21219,郡上市,市,1,郡上市,グジョウシ,グジヨウシ,Gujo Shi
21,岐阜県,21220,下呂市,市,1,下呂市,ゲロシ,ゲロシ,Gero Shi
21,岐阜県,21221,海津市,市,1,海津市,カイヅシ,カイヅシ,Kaizu Shi
21,岐阜県,21302,羽島郡岐南町,町,2,羽島郡 岐南町,ハシマグンギナンチョウ,ハシマグンギナンチヨウ,Hashima Gun Ginan Cho
21,岐阜県,21303,羽島郡笠松町,町,2,羽島郡 笠松町,ハシマグンカサマツチョウ,ハシマグンカサマツチヨウ,Hashima Gun Kasamatsu Cho
21,岐阜県,21341,養老郡養老町,町,2,養老郡 養老町,ヨウロウグンヨウロウチョウ,ヨウロウグンヨウロウチヨウ,Yoro Gun Yoro Cho
21,岐阜県,21361,不破郡垂井町,町,2,不破郡 垂井町,フワグンタルイチョウ,フワグンタルイチヨウ,Fuwa Gun Tarui Cho
21,岐阜県,21362,不破郡関ケ原町,町,2,不破郡 関ケ原町,フワグンセキガハラチョウ,フワグンセキガハラチヨウ,Fuwa Gun Sekigahara Cho
21,岐阜県,21381,安八郡神戸町,町,2,安八郡 神戸町,アンパチグンゴウドチョウ,アンパチグンゴウドチヨウ,Ampachi Gun Godo Cho
21,岐阜県,21382,安八郡輪之内町,町,2,安八郡 輪之内町,アンパチグンワノウチチョウ,アンパチグンワノウチチヨウ,Ampachi Gun Wanochi Cho
21,岐阜県,21383,安八郡安八町,町,2,安八郡 安八町,アンパチグンアンパチチョウ,アンパチグンアンパチチヨウ,Ampachi Gun Ampachi Cho
21,岐阜県,21401,揖斐郡揖斐川町,町,2,揖斐郡 揖斐川町,イビグンイビガワチョウ,イビグンイビガワチヨウ,Ibi Gun Ibigawa Cho
21,岐阜県,21403,揖斐郡大野町,町,2,揖斐郡 大野町,イビグンオオノチョウ,イビグンオオノチヨウ,Ibi Gun Ono Cho
21,岐阜県,21404,揖斐郡池田町,町,2,揖斐郡 池田町,イビグンイケダチョウ,イビグンイケダチヨウ,Ibi Gun Ikeda Cho
21,岐阜県,21421,本巣郡北方町,町,2,本巣郡 北方町,モトスグンキタガタチョウ,モトスグンキタガタチヨウ,Motosu Gun Kitagata Cho
21,岐阜県,21501,加茂郡坂祝町,町,2,加茂郡 坂祝町,カモグンサカホギチョウ,カモグンサカホギチヨウ,Kamo Gun Sakahogi Cho
21,岐阜県,21502,加茂郡富加町,町,2,加茂郡 富加町,カモグントミカチョウ,カモグントミカチヨウ,Kamo Gun Tomika Cho
21,岐阜県,21503,加茂郡川辺町,町,2,加茂郡 川辺町,カモグンカワベチョウ,カモグンカワベチヨウ,Kamo Gun Kawabe Cho
21,岐阜県,21504,加茂郡七宗町,町,2,加茂郡 七宗町,カモグンヒチソウチョウ,カモグンヒチソウチヨウ,Kamo Gun Hichiso Cho
21,岐阜県,21505,加茂郡八百津町,町,2,加茂郡 八百津町,カモグンヤオツチョウ,カモグンヤオツチヨウ,Kamo Gun Yaotsu Cho
21,岐阜県,21506,加茂郡白川町,町,2,加茂郡 白川町,カモグンシラカワチョウ,カモグンシラカワチヨウ,Kamo Gun Shirakawa Cho
21,岐阜県,21507,加茂郡東白川村,村,2,加茂郡 東白川村,カモグンヒガシシラカワムラ,カモグンヒガシシラカワムラ,Kamo Gun Higashishirakawa Mura
21,岐阜県,21521,可児郡御嵩町,町,2,可児郡 御嵩町,カニグンミタケチョウ,カニグンミタケチヨウ,Kani Gun Mitake Cho
21,岐阜県,21604,大野郡白川村,村,2,大野郡 白川村,オオノグンシラカワムラ,オオノグンシラカワムラ,Ono Gun Shirakawa Mura
22,静岡県,22101,静岡市葵区,区,2,静岡市 葵区,シズオカシアオイク,シズオカシアオイク,Shizuoka Shi Aoi Ku
22,静岡県,22102,静岡市駿河区,区,2,静岡市 駿河区,シズオカシスルガク,シズオカシスルガク,Shizuoka Shi Suruga Ku
22,静岡県,22103,静岡市清水区,区,2,静岡市 清水区,シズオカシシミズク,シズオカシシミズク,Shizuoka Shi Shimizu Ku
